X,City,Country,days_city,days_country,prop_country,Latitude,Longitude,radio
1,Augsburgo,Alemania,1,49,26.3,48.366512,10.894446,5000
2,Barcelona,España,3,8,4.3,41.385064,2.173403,5000
3,Berlin ,Alemania,38,49,26.3,52.520008,13.404954,10000
4,Burgas,Bulgaria,1,6,3.2,42.510578,27.461014,5000
5,Coimbra,Portugal,3,25,13.4,40.2098,-8.4303,5000
6,Deutschlandsberg,Austria,17,46,24.7,46.81595,15.21338,8000
8,Dresde,Alemania,5,49,26.3,51.050407,13.737262,7000
9,Dubrovnik,Croacia,1,10,5.4,42.650661,18.094424,5000
10,Eltendorf,Austria,22,46,24.7,47.008797,16.202751,8000
11,Graz,Austria,4,46,24.7,47.076668,15.421371,5000
12,Heidelberg,Alemania,2,49,26.3,49.39875,8.672434,5000
13,Himara,Albania,3,10,5.4,40.103472,19.750238,5000
14,Kotor,Montenegro,3,3,1.6,42.424662,18.771234,5000
15,Lisboa,Portugal,17,25,13.4,38.7086,-9.1351,8000
16,Liubliana,Eslovenia,5,7,3.8,46.056946,14.505751,7000
17,Londres,Inglaterra,18,18,9.7,51.5073509,-0.1277583,8000
18,Madrid,España,5,8,4.3,40.416775,-3.70379,7000
19,Maribor,Eslovenia,2,7,3.8,46.55465,15.645881,5000
20,Múnich,Alemania,3,49,26.3,48.137154,11.576124,5000
21,Porto,Portugal,5,25,13.4,41.1579438,-8.6291053,7000
22,Saranda,Albania,3,10,5.4,39.859212,20.0271,5000
23,Sofia,Bulgaria,3,6,3.2,42.698334,23.319941,5000
25,Split,Croacia,1,10,5.4,43.508133,16.440193,5000
26,Tesalónica,Grecia,4,4,2.2,40.736851,22.920227,5000
27,Tirana,Albania,2,10,5.4,41.327953,19.819025,5000
29,Trogir,Croacia,3,10,5.4,43.516387,16.250189,5000
30,Varna,Bulgaria,2,6,3.2,43.204666,27.910543,5000
31,Viena,Austria,3,46,24.7,48.210033,16.363449,5000
32,Vlora,Albania,2,10,5.4,40.466067,19.491356,5000
33,Zagreb,Croacia,5,10,5.4,45.815399,15.966568,7000
