City,Latitude,Longitude,Etiqueta
Montevideo,-34.901112,-56.164532,
Madrid,40.416775,-3.70379,junio - julio
Barcelona,41.385064,2.173403,junio - julio
Venecia (Venezia),45.440847,12.315515,junio - julio
Graz,47.076668,15.421371,junio - julio
Deutschlandsberg,46.81595,15.21338,junio - julio
Maribor,46.55465,15.645881,junio - julio
Deutschlandsberg,46.81595,15.21338,junio - julio
Viena (Wien),48.210033,16.363449,junio - julio
Zagreb,45.815399,15.966568,junio - julio
Liubliana (Ljubljana),46.056946,14.505751,junio - julio
Sofia,42.698334,23.319941,junio - julio
Varna,43.204666,27.910543,junio - julio
Burgas,42.510578,27.461014,junio - julio
Sofia,42.698334,23.319941,junio - julio
Tesalónica (Thessaloniki),40.736851,22.920227,junio - julio
Tirana,41.327953,19.819025,junio - julio
Saranda,39.859212,20.0271,junio - julio
Himara,40.103472,19.750238,junio - julio
Vlora,40.466067,19.491356,junio - julio
Tirana,41.327953,19.819025,agosto – setiembre
Kotor,42.424662,18.771234,agosto – setiembre
Dubrovnik,42.650661,18.094424,agosto – setiembre
Trogir,43.516387,16.250189,agosto – setiembre
Split,43.508133,16.440193,agosto – setiembre
Liubliana (Ljubljana),46.056946,14.505751,agosto – setiembre
Eltendorf,47.008797,16.202751,agosto – setiembre
Múnich (München),48.137154,11.576124,agosto – setiembre
Augsburgo,48.366512,10.894446,agosto – setiembre
Heidelberg,49.39875,8.672434,agosto – setiembre
Múnich (München),48.137154,11.576124,agosto – setiembre
Berlin,52.520008,13.404954,agosto – setiembre
Dresde,51.050407,13.737262,agosto – setiembre
Berlin,52.520008,13.404954,octubre – noviembre
Londres (London),51.5073509,-0.1277583,octubre – noviembre
Porto,41.1579438,-8.6291053,octubre – noviembre
Aveiro,40.6395,-8.6541,octubre – noviembre
Coimbra,40.2098,-8.4303,octubre – noviembre
Lisboa,38.7086,-9.1351,octubre – noviembre
Cascais,38.6962,-9.4204,octubre – noviembre
Sintra,38.7969,-9.3885,octubre – noviembre
Cabo da Roca,38.7809,-9.5001,octubre – noviembre
